image,category,tags
6121.jpg,Bag,"['black', 'Backpack']"
37679.jpg,Bag,"['Backpack', 'blue']"
35199.jpg,Bag,"['black', 'Backpack', 'green']"
29313.jpg,Bag,"['black', 'Backpack', 'casual']"
1557.jpg,Bag,"['black', 'Backpack', 'blue']"
31608.jpg,Bag,"['black', 'Backpack', 'casual']"
9582.jpg,Bag,"['Backpack', 'formal', 'purple']"
30190.jpg,Bag,"['sporty', 'Backpack', 'red']"
29007.jpg,Bag,"['black', 'Backpack', 'casual']"
32870.jpg,Bag,"['Backpack', 'red', 'grey']"
1697.jpg,Bag,"['black', 'Backpack']"
7121.jpg,Bag,"['black', 'Backpack', 'grey']"
22675.jpg,Bag,"['Backpack', 'blue', 'grey']"
7082.jpg,Bag,"['Backpack', 'red']"
35182.jpg,Bag,"['pink', 'Backpack']"
7523.jpg,Bag,"['Backpack', 'grey']"
15663.jpg,Bag,"['black', 'Backpack', 'winter']"
4595.jpg,Bag,"['black', 'Backpack', 'blue', 'white']"
5300.jpg,Bag,"['sporty', 'Backpack', 'yellow']"
37686.jpg,Bag,"['Backpack', 'grey']"
7119.jpg,Bag,"['Backpack', 'green']"
5220.jpg,Bag,"['black', 'Backpack']"
7098.jpg,Bag,"['black', 'Backpack', 'green', 'grey']"
35191.jpg,Bag,"['black', 'Backpack', 'blue']"
7074.jpg,Bag,"['Backpack', 'green', 'grey']"
2264.jpg,Bag,"['black', 'Backpack', 'grey']"
35193.jpg,Bag,"['black', 'Backpack', 'grey']"
4667.jpg,Bag,"['black', 'Backpack']"
15920.jpg,Bag,"['black', 'sporty', 'Backpack']"
15291.jpg,Bag,"['black', 'Backpack', 'blue', 'red', 'yellow', 'white', 'casual']"
6544.jpg,Bag,"['Backpack', 'green']"
7083.jpg,Bag,"['black', 'Backpack']"
25881.jpg,Bag,"['Backpack', 'casual', 'green']"
4584.jpg,Bag,"['black', 'Backpack', 'red']"
21261.jpg,Bag,"['black', 'Backpack']"
9794.jpg,Bag,"['Backpack', 'green']"
19943.jpg,Bag,"['black', 'Backpack', 'casual']"
37226.jpg,Bag,"['black', 'Backpack', 'casual']"
7059.jpg,Bag,"['black', 'Backpack', 'blue', 'formal']"
20935.jpg,Bag,"['black', 'Backpack', 'red']"
35188.jpg,Bag,"['pink', 'Backpack']"
18433.jpg,Bag,"['Backpack', 'formal', 'brown']"
9490.jpg,Bag,"['black', 'sporty', 'Backpack']"
37227.jpg,Bag,"['black', 'Backpack', 'casual']"
2261.jpg,Bag,"['black', 'Backpack', 'grey']"
37694.jpg,Bag,"['black', 'Backpack']"
7080.jpg,Bag,"['black', 'Backpack']"
39485.jpg,Bag,"['Backpack', 'green', 'grey']"
20841.jpg,Bag,"['Backpack', 'brown']"
1918.jpg,Bag,"['Backpack', 'blue']"
29065.jpg,Bag,"['black', 'Backpack', 'casual', 'grey']"
29003.jpg,Bag,"['black', 'Backpack', 'casual']"
25235.jpg,Bag,"['Backpack', 'blue', 'brown']"
29072.jpg,Bag,"['blue', 'casual', 'Backpack']"
7853.jpg,Bag,"['blue', 'pink', 'formal', 'black', 'Backpack']"
39511.jpg,Bag,"['orange', 'Backpack']"
7117.jpg,Bag,"['black', 'Backpack', 'waterproof', 'grey']"
18800.jpg,Bag,"['blue', 'casual', 'Backpack']"
4610.jpg,Bag,"['Backpack', 'green', 'grey']"
8266.jpg,Bag,"['black', 'Backpack', 'red']"
25880.jpg,Bag,"['black', 'Backpack']"
9489.jpg,Bag,"['black', 'Backpack']"
47431.jpg,Bag,"['Backpack', 'green']"
35200.jpg,Bag,"['Backpack', 'grey']"
43566.jpg,Bag,"['Backpack', 'red', 'grey']"
30188.jpg,Bag,"['Backpack', 'grey']"
19411.jpg,Bag,"['Backpack', 'red']"
22737.jpg,Bag,"['sporty', 'Backpack', 'waterproof', 'red']"
20939.jpg,Bag,"['Backpack', 'blue']"
39884.jpg,Bag,"['black', 'Backpack', 'casual']"
7109.jpg,Bag,"['black', 'Backpack', 'formal', 'grey']"
36064.jpg,Bag,"['Backpack', 'brown']"
5271.jpg,Bag,"['Backpack', 'green']"
32861.jpg,Bag,"['Backpack', 'blue', 'grey']"
17983.jpg,Bag,"['black', 'Backpack', 'formal']"
4680.jpg,Bag,"['black', 'Backpack', 'grey']"
25887.jpg,Bag,"['Backpack', 'brown', 'grey']"
14892.jpg,Bag,"['Backpack', 'blue']"
38325.jpg,Bag,"['sporty', 'Backpack', 'red']"
25869.jpg,Bag,"['black', 'Backpack', 'red']"
38743.jpg,Bag,"['Backpack', 'formal', 'purple']"
8374.jpg,Bag,"['blue', 'black', 'Backpack', 'casual', 'green']"
32869.jpg,Bag,"['black', 'Backpack', 'grey']"
4687.jpg,Bag,"['black', 'Backpack', 'spring', 'grey']"
7110.jpg,Bag,"['Backpack', 'blue']"
24493.jpg,Bag,"['Backpack', 'green']"
34470.jpg,Bag,"['black', 'orange', 'Backpack', 'casual']"
43565.jpg,Bag,"['black', 'Backpack', 'grey']"
29100.jpg,Bag,"['black', 'sporty', 'Backpack']"
38140.jpg,Bag,"['black', 'Backpack', 'grey']"
35184.jpg,Bag,"['Backpack', 'blue']"
7102.jpg,Bag,"['orange', 'Backpack', 'grey']"
4681.jpg,Bag,"['Backpack', 'blue', 'white']"
19920.jpg,Bag,"['black', 'Backpack']"
1525.jpg,Bag,"['Backpack', 'blue']"
9495.jpg,Bag,"['black', 'Backpack']"
6797.jpg,Bag,"['pink', 'Backpack']"
9491.jpg,Bag,"['sporty', 'Backpack', 'red']"
35216.jpg,Bag,"['black', 'Backpack']"
35192.jpg,Bag,"['black', 'Backpack', 'green']"
30202.jpg,Bag,"['blue', 'casual', 'Backpack']"
1934.jpg,Bag,"['summer', 'Backpack', 'purple']"
37688.jpg,Bag,"['Backpack', 'grey']"
25224.jpg,Bag,"['Backpack', 'brown', 'purple']"
29269.jpg,Bag,"['black', 'Backpack', 'blue', 'casual']"
7064.jpg,Bag,"['Backpack', 'formal', 'grey']"
38320.jpg,Bag,"['Backpack', 'blue', 'white']"
5266.jpg,Bag,"['Backpack', 'waterproof', 'grey']"
7056.jpg,Bag,"['black', 'Backpack', 'waterproof']"
7088.jpg,Bag,"['black', 'Backpack', 'blue']"
34465.jpg,Bag,"['spring', 'grey', 'black', 'Backpack', 'sporty']"
37683.jpg,Bag,"['black', 'Backpack']"
22682.jpg,Bag,"['orange', 'Backpack', 'grey']"
38131.jpg,Bag,"['black', 'Backpack', 'blue']"
22658.jpg,Bag,"['Backpack', 'blue']"
15273.jpg,Bag,"['Backpack', 'blue']"
7072.jpg,Bag,"['black', 'Backpack', 'red']"
17984.jpg,Bag,"['black', 'Backpack', 'formal']"
7114.jpg,Bag,"['black', 'Backpack']"
21244.jpg,Bag,"['black', 'Backpack', 'formal']"
8231.jpg,Bag,"['Backpack', 'green']"
4683.jpg,Bag,"['black', 'Backpack']"
6531.jpg,Bag,"['Backpack', 'blue', 'red', 'waterproof']"
6514.jpg,Bag,"['black', 'Backpack', 'waterproof']"
6554.jpg,Bag,"['black', 'Backpack']"
36049.jpg,Bag,"['Backpack', 'yellow']"
4602.jpg,Bag,"['black', 'Backpack', 'red']"
5301.jpg,Bag,"['black', 'Backpack', 'grey']"
15653.jpg,Bag,"['Backpack', 'blue', 'winter']"
34463.jpg,Bag,"['black', 'sporty', 'Backpack']"
33772.jpg,Bag,"['sporty', 'Backpack', 'grey']"
8250.jpg,Bag,"['Backpack', 'grey']"
25870.jpg,Bag,"['Backpack', 'red']"
7105.jpg,Bag,"['Backpack', 'green']"
36047.jpg,Bag,"['Backpack', 'green']"
21192.jpg,Bag,"['Backpack', 'red']"
28923.jpg,Bag,"['black', 'Backpack']"
35213.jpg,Bag,"['black', 'Backpack']"
34468.jpg,Bag,"['casual', 'Backpack', 'blue', 'white']"
9580.jpg,Bag,"['black', 'Backpack', 'formal']"
51324.jpg,Bag,"['black', 'Backpack', 'grey']"
19916.jpg,Bag,"['black', 'Backpack', 'grey']"
6548.jpg,Bag,"['Backpack', 'formal', 'grey']"
37695.jpg,Bag,"['Backpack', 'brown']"
51316.jpg,Bag,"['black', 'Backpack', 'grey']"
58146.jpg,Bag,"['black', 'Backpack', 'red']"
7104.jpg,Bag,"['black', 'Backpack', 'grey']"
1795.jpg,Bag,"['black', 'Backpack']"
35205.jpg,Bag,"['black', 'Backpack', 'blue']"
37690.jpg,Bag,"['Backpack', 'blue']"
7057.jpg,Bag,"['Backpack', 'blue']"
53366.jpg,Bag,"['Backpack', 'blue']"
38148.jpg,Bag,"['black', 'Backpack']"
39490.jpg,Bag,"['Backpack', 'red', 'grey']"
4668.jpg,Bag,"['black', 'Backpack', 'blue', 'waterproof']"
40762.jpg,Bag,['Backpack']
9524.jpg,Bag,"['black', 'Backpack']"
24327.jpg,Bag,"['black', 'Backpack', 'casual']"
21190.jpg,Bag,"['black', 'Backpack', 'blue', 'grey']"
38136.jpg,Bag,"['Backpack', 'blue', 'grey']"
44279.jpg,Bag,"['Backpack', 'brown']"
1801.jpg,Bag,"['pink', 'Backpack', 'summer']"
19316.jpg,Bag,"['sporty', 'Backpack', 'grey']"
29071.jpg,Bag,"['black', 'Backpack', 'green', 'casual']"
3475.jpg,Bag,"['black', 'Backpack', 'red']"
9909.jpg,Bag,"['black', 'Backpack']"
2363.jpg,Bag,"['black', 'Backpack', 'regular']"
43569.jpg,Bag,"['black', 'Backpack']"
6541.jpg,Bag,"['Backpack', 'red']"
34469.jpg,Bag,"['black', 'Backpack', 'casual']"
37682.jpg,Bag,"['black', 'Backpack']"
35180.jpg,Bag,"['Backpack', 'grey']"
19315.jpg,Bag,"['black', 'sporty', 'Backpack', 'grey']"
4616.jpg,Bag,"['Backpack', 'green']"
38740.jpg,Bag,"['casual', 'Backpack', 'blue']"
39876.jpg,Bag,"['Backpack', 'casual', 'purple']"
15921.jpg,Bag,"['black', 'sporty', 'Backpack']"
1793.jpg,Bag,"['Backpack', 'green']"
22671.jpg,Bag,"['black', 'Backpack', 'grey']"
5262.jpg,Bag,"['Backpack', 'blue', 'grey']"
1935.jpg,Bag,"['Backpack', 'blue', 'formal']"
35215.jpg,Bag,"['Backpack', 'red', 'grey']"
34460.jpg,Bag,"['sporty', 'Backpack', 'blue', 'red']"
25876.jpg,Bag,"['black', 'Backpack']"
8373.jpg,Bag,"['Backpack', 'blue']"
5255.jpg,Bag,"['Backpack', 'blue']"
9523.jpg,Bag,"['Backpack', 'blue']"
30186.jpg,Bag,"['Backpack', 'red']"
44282.jpg,Bag,"['Backpack', 'grey']"
30537.jpg,Bag,"['blue', 'casual', 'Backpack']"
6565.jpg,Bag,"['black', 'sporty', 'Backpack', 'white']"
51321.jpg,Bag,"['red', 'formal', 'black', 'Backpack', 'winter']"
47320.jpg,Bag,"['autumn', 'Backpack', 'green', 'elegant']"
5259.jpg,Bag,"['Backpack', 'purple']"
7090.jpg,Bag,"['Backpack', 'blue']"
21246.jpg,Bag,"['Backpack', 'purple']"
4585.jpg,Bag,"['black', 'Backpack']"
8515.jpg,Bag,"['blue', 'waterproof', 'grey', 'Backpack', 'casual']"
8222.jpg,Bag,"['Backpack', 'casual', 'red', 'spring']"
29317.jpg,Bag,"['blue', 'casual', 'Backpack']"
36066.jpg,Bag,"['Backpack', 'blue']"
19944.jpg,Bag,"['sporty', 'Backpack', 'blue', 'waterproof']"
22739.jpg,Bag,"['sporty', 'Backpack', 'blue']"
15926.jpg,Bag,"['Backpack', 'grey']"
12742.jpg,Bag,"['black', 'Backpack', 'waterproof']"
53372.jpg,Bag,"['black', 'Backpack', 'red']"
19921.jpg,Bag,"['Backpack', 'yellow']"
38142.jpg,Bag,"['Backpack', 'red', 'grey']"
35196.jpg,Bag,"['black', 'Backpack', 'red']"
19312.jpg,Bag,"['Backpack', 'casual', 'red']"
30193.jpg,Bag,"['sporty', 'Backpack', 'blue']"
17149.jpg,Bag,"['Backpack', 'formal', 'grey']"
34461.jpg,Bag,"['black', 'sporty', 'Backpack']"
29070.jpg,Bag,"['Backpack', 'blue']"
38758.jpg,Bag,"['Backpack', 'blue']"
37672.jpg,Bag,"['black', 'Backpack']"
4674.jpg,Bag,"['black', 'Backpack', 'white']"
24323.jpg,Bag,"['black', 'Backpack', 'casual']"
18162.jpg,Bag,"['black', 'Backpack', 'formal']"
2246.jpg,Bag,"['black', 'Backpack']"
15294.jpg,Bag,"['black', 'Backpack', 'casual']"
8512.jpg,Bag,"['casual', 'Backpack', 'blue']"
22970.jpg,Bag,"['black', 'Backpack', 'formal']"
38137.jpg,Bag,"['pink', 'Backpack', 'grey']"
29318.jpg,Bag,"['black', 'Backpack', 'casual']"
7093.jpg,Bag,"['black', 'Backpack']"
6545.jpg,Bag,"['sporty', 'Backpack', 'green']"
39874.jpg,Bag,"['black', 'summer', 'casual', 'Backpack']"
21248.jpg,Bag,"['Backpack', 'brown']"
7103.jpg,Bag,"['Backpack', 'grey']"
7122.jpg,Bag,"['black', 'Backpack', 'green']"
35208.jpg,Bag,"['Backpack', 'blue', 'grey']"
18432.jpg,Bag,"['pink', 'formal', 'Backpack']"
58143.jpg,Bag,"['Backpack', 'red']"
7066.jpg,Bag,"['blue', 'waterproof', 'black', 'Backpack', 'sporty']"
1933.jpg,Bag,"['Backpack', 'grey']"
21268.jpg,Bag,"['black', 'Backpack']"
39484.jpg,Bag,"['Backpack', 'yellow', 'grey']"
9911.jpg,Bag,"['black', 'sporty', 'Backpack']"
5299.jpg,Bag,"['Backpack', 'red']"
8523.jpg,Bag,"['black', 'Backpack', 'blue', 'waterproof']"
41846.jpg,Bag,"['casual', 'Backpack', 'blue']"
25882.jpg,Bag,"['Backpack', 'casual', 'purple']"
38141.jpg,Bag,"['orange', 'Backpack', 'grey']"
3474.jpg,Bag,"['Backpack', 'blue']"
4605.jpg,Bag,"['Backpack', 'green']"
6119.jpg,Bag,"['black', 'Backpack']"
6520.jpg,Bag,"['Backpack', 'blue', 'waterproof']"
32864.jpg,Bag,"['pink', 'Backpack', 'grey']"
35210.jpg,Bag,"['black', 'Backpack', 'red']"
37691.jpg,Bag,"['black', 'Backpack']"
9443.jpg,Bag,"['red', 'waterproof', 'black', 'Backpack', 'casual']"
8524.jpg,Bag,"['black', 'Backpack', 'casual', 'waterproof']"
38741.jpg,Bag,"['black', 'Backpack']"
38739.jpg,Bag,"['black', 'Backpack']"
39488.jpg,Bag,"['black', 'Backpack', 'grey']"
10774.jpg,Bag,"['black', 'Backpack', 'green']"
4671.jpg,Bag,"['Backpack', 'blue', 'waterproof']"
38129.jpg,Bag,"['black', 'Backpack', 'green']"
35204.jpg,Bag,"['black', 'Backpack']"
4675.jpg,Bag,"['black', 'Backpack', 'blue', 'waterproof']"
8514.jpg,Bag,"['casual', 'Backpack', 'blue', 'grey']"
4670.jpg,Bag,"['black', 'Backpack', 'blue', 'waterproof']"
30189.jpg,Bag,"['casual', 'Backpack', 'blue']"
9439.jpg,Bag,"['black', 'Backpack', 'blue', 'casual']"
15292.jpg,Bag,"['casual', 'Backpack', 'green']"
37685.jpg,Bag,"['black', 'Backpack']"
35172.jpg,Bag,"['Backpack', 'red', 'formal']"
15666.jpg,Bag,"['black', 'Backpack', 'winter', 'slim']"
37697.jpg,Bag,"['Backpack', 'brown']"
15917.jpg,Bag,"['sporty', 'Backpack', 'brown']"
38746.jpg,Bag,"['casual', 'Backpack', 'blue']"
9492.jpg,Bag,"['sporty', 'Backpack', 'blue']"
9527.jpg,Bag,"['black', 'Backpack']"
20937.jpg,Bag,"['black', 'Backpack', 'grey']"
35195.jpg,Bag,"['pink', 'Backpack']"
7522.jpg,Bag,"['Backpack', 'grey']"
21256.jpg,Bag,"['Backpack', 'blue']"
38750.jpg,Bag,"['black', 'Backpack', 'formal', 'grey']"
21245.jpg,Bag,"['Backpack', 'green']"
32866.jpg,Bag,"['Backpack', 'red', 'grey']"
37698.jpg,Bag,"['black', 'Backpack']"
21243.jpg,Bag,"['black', 'Backpack', 'spring']"
21435.jpg,Bag,"['Backpack', 'casual', 'purple']"
37699.jpg,Bag,"['black', 'Backpack']"
4689.jpg,Bag,"['black', 'Backpack', 'grey']"
4669.jpg,Bag,"['black', 'Backpack', 'waterproof', 'grey']"
4684.jpg,Bag,"['black', 'Backpack']"
25867.jpg,Bag,"['black', 'Backpack', 'grey']"
38738.jpg,Bag,"['black', 'Backpack', 'grey']"
4588.jpg,Bag,"['Backpack', 'red', 'grey']"
37675.jpg,Bag,"['black', 'Backpack', 'grey']"
35177.jpg,Bag,"['black', 'Backpack']"
6518.jpg,Bag,"['Backpack', 'waterproof']"
44280.jpg,Bag,"['black', 'Backpack']"
8517.jpg,Bag,"['blue', 'casual', 'Backpack']"
7063.jpg,Bag,"['Backpack', 'blue', 'formal']"
36660.jpg,Bag,"['black', 'Backpack', 'purple']"
37676.jpg,Bag,"['black', 'Backpack']"
30196.jpg,Bag,"['black', 'Backpack', 'casual', 'red']"
10775.jpg,Bag,"['Backpack', 'green']"
39885.jpg,Bag,"['blue', 'spring', 'black', 'Backpack', 'casual']"
38749.jpg,Bag,"['formal', 'grey', 'black', 'orange', 'Backpack']"
9795.jpg,Bag,"['Backpack', 'red']"
37263.jpg,Bag,"['Backpack', 'green', 'formal']"
9910.jpg,Bag,"['sporty', 'pink', 'Backpack']"
30195.jpg,Bag,"['black', 'Backpack', 'casual']"
25864.jpg,Bag,"['Backpack', 'purple']"
5314.jpg,Bag,"['black', 'Backpack']"
29002.jpg,Bag,"['black', 'Backpack', 'casual']"
29315.jpg,Bag,"['blue', 'casual', 'Backpack']"
13698.jpg,Bag,"['Backpack', 'white']"
20035.jpg,Bag,"['Backpack', 'casual', 'purple']"
20960.jpg,Bag,"['Backpack', 'casual', 'green']"
53361.jpg,Bag,"['pink', 'Backpack', 'grey']"
40760.jpg,Bag,"['black', 'Backpack', 'blue', 'grey']"
9493.jpg,Bag,"['black', 'fitted', 'Backpack']"
36654.jpg,Bag,"['black', 'Backpack']"
30200.jpg,Bag,"['black', 'Backpack', 'blue', 'casual']"
35209.jpg,Bag,"['pink', 'Backpack', 'grey']"
38321.jpg,Bag,"['sporty', 'Backpack', 'blue']"
4582.jpg,Bag,"['orange', 'Backpack']"
7084.jpg,Bag,"['Backpack', 'green']"
15215.jpg,Bag,"['black', 'Backpack', 'red']"
43147.jpg,Bag,"['black', 'Backpack', 'red']"
37680.jpg,Bag,"['black', 'Backpack']"
5858.jpg,Bag,"['Backpack', 'blue']"
46623.jpg,Bag,"['Backpack', 'formal']"
31606.jpg,Bag,"['black', 'Backpack', 'casual']"
35206.jpg,Bag,"['black', 'Backpack', 'grey']"
19917.jpg,Bag,"['black', 'Backpack']"
2263.jpg,Bag,"['black', 'Backpack', 'grey']"
19313.jpg,Bag,"['black', 'Backpack']"
20932.jpg,Bag,"['spring', 'grey', 'black', 'Backpack', 'casual']"
22662.jpg,Bag,"['Backpack', 'blue']"
8516.jpg,Bag,"['black', 'Backpack', 'casual', 'waterproof']"
39489.jpg,Bag,"['black', 'Backpack', 'blue', 'grey']"
37677.jpg,Bag,"['Backpack', 'brown']"
39877.jpg,Bag,"['casual', 'Backpack', 'blue', 'white']"
9440.jpg,Bag,"['black', 'Backpack', 'casual']"
9496.jpg,Bag,"['Backpack', 'green']"
15708.jpg,Bag,"['Backpack', 'blue', 'formal']"
7067.jpg,Bag,"['Backpack', 'grey']"
31609.jpg,Bag,"['black', 'Backpack', 'blue', 'casual']"
5268.jpg,Bag,"['black', 'Backpack']"
37692.jpg,Bag,"['Backpack', 'blue']"
20934.jpg,Bag,"['Backpack', 'blue']"
35174.jpg,Bag,"['black', 'Backpack']"
19319.jpg,Bag,"['pink', 'casual', 'Backpack', 'grey']"
8264.jpg,Bag,"['black', 'Backpack', 'white']"
6515.jpg,Bag,"['Backpack', 'blue']"
25883.jpg,Bag,"['Backpack', 'green']"
17633.jpg,Bag,"['black', 'Backpack', 'blue']"
35181.jpg,Bag,"['Backpack', 'blue']"
4596.jpg,Bag,"['Backpack', 'green']"
36048.jpg,Bag,"['Backpack', 'brown']"
9487.jpg,Bag,"['Backpack', 'grey']"
35201.jpg,Bag,"['Backpack', 'blue', 'grey']"
39882.jpg,Bag,"['casual', 'summer', 'blue', 'Backpack']"
38323.jpg,Bag,"['black', 'sporty', 'Backpack']"
19314.jpg,Bag,"['pink', 'casual', 'red', 'Backpack']"
34466.jpg,Bag,"['pink', 'casual', 'Backpack']"
22649.jpg,Bag,"['Backpack', 'green', 'waterproof', 'grey']"
17986.jpg,Bag,"['black', 'Backpack', 'formal']"
7073.jpg,Bag,"['orange', 'Backpack', 'white']"
18007.jpg,Bag,"['black', 'Backpack', 'formal']"
47312.jpg,Bag,"['autumn', 'Backpack', 'elegant', 'brown']"
29319.jpg,Bag,"['Backpack', 'casual', 'red']"
43567.jpg,Bag,"['Backpack', 'blue']"
22668.jpg,Bag,"['Backpack', 'grey']"
36653.jpg,Bag,"['Backpack', 'blue']"
5272.jpg,Bag,"['black', 'Backpack']"
38130.jpg,Bag,"['black', 'Backpack']"
5258.jpg,Bag,"['black', 'summer', 'waterproof', 'Backpack']"
5251.jpg,Bag,"['black', 'Backpack', 'blue']"
39482.jpg,Bag,"['Backpack', 'red']"
8216.jpg,Bag,"['black', 'orange', 'Backpack', 'casual']"
19320.jpg,Bag,"['pink', 'casual', 'Backpack']"
21436.jpg,Bag,"['pink', 'Backpack']"
39512.jpg,Bag,"['black', 'Backpack']"
6546.jpg,Bag,"['black', 'Backpack', 'formal']"
1526.jpg,Bag,"['black', 'Backpack']"
20924.jpg,Bag,"['black', 'Backpack', 'spring', 'casual']"
44284.jpg,Bag,"['Backpack', 'red']"
24328.jpg,Bag,"['blue', 'casual', 'Backpack']"
6124.jpg,Bag,"['black', 'Backpack']"
19908.jpg,Bag,"['black', 'Backpack', 'blue']"
19918.jpg,Bag,"['black', 'Backpack']"
29312.jpg,Bag,"['black', 'Backpack', 'casual']"
20936.jpg,Bag,"['Backpack', 'green']"
58144.jpg,Bag,"['Backpack', 'grey']"
21269.jpg,Bag,"['black', 'Backpack', 'spring']"
4686.jpg,Bag,"['black', 'Backpack']"
7108.jpg,Bag,"['Backpack', 'green']"
32865.jpg,Bag,"['Backpack', 'blue', 'grey']"
38139.jpg,Bag,"['Backpack', 'blue', 'grey']"
39486.jpg,Bag,"['black', 'Backpack']"
53368.jpg,Bag,"['black', 'Backpack']"
22969.jpg,Bag,"['black', 'Backpack', 'formal']"
29103.jpg,Bag,"['sporty', 'Backpack', 'blue']"
19907.jpg,Bag,"['Backpack', 'red']"
35203.jpg,Bag,"['black', 'Backpack', 'red']"
22673.jpg,Bag,"['black', 'Backpack', 'red']"
6557.jpg,Bag,"['sporty', 'Backpack', 'blue']"
3470.jpg,Bag,"['sporty', 'Backpack', 'blue']"
51322.jpg,Bag,"['black', 'Backpack', 'grey']"
19909.jpg,Bag,"['black', 'Backpack', 'red']"
37671.jpg,Bag,"['black', 'Backpack']"
38744.jpg,Bag,"['Backpack', 'green', 'formal']"
9526.jpg,Bag,"['black', 'Backpack', 'waterproof']"
15923.jpg,Bag,"['black', 'sporty', 'Backpack', 'red']"
21260.jpg,Bag,"['Backpack', 'brown']"
29578.jpg,Bag,"['Backpack', 'casual', 'green']"
35212.jpg,Bag,"['pink', 'Backpack', 'grey']"
29074.jpg,Bag,"['Backpack', 'casual', 'grey']"
33771.jpg,Bag,"['sporty', 'Backpack', 'blue']"
7071.jpg,Bag,"['Backpack', 'green']"
5219.jpg,Bag,"['black', 'Backpack']"
1800.jpg,Bag,"['black', 'Backpack']"
1930.jpg,Bag,"['Backpack', 'red', 'formal']"
35179.jpg,Bag,"['Backpack', 'green']"
9575.jpg,Bag,"['pink', 'Backpack']"
8219.jpg,Bag,"['blue', 'casual', 'red', 'Backpack']"
21264.jpg,Bag,"['Backpack', 'blue']"
25871.jpg,Bag,"['black', 'Backpack']"
18427.jpg,Bag,"['black', 'Backpack', 'formal']"
7078.jpg,Bag,"['black', 'Backpack', 'grey']"
37673.jpg,Bag,"['black', 'Backpack', 'blue']"
21258.jpg,Bag,"['Backpack', 'grey']"
31984.jpg,Bag,"['black', 'Backpack']"
8221.jpg,Bag,"['Backpack', 'blue', 'green', 'spring', 'casual', 'grey']"
29316.jpg,Bag,"['blue', 'casual', 'Backpack']"
38965.jpg,Bag,"['Backpack', 'yellow', 'grey']"
4606.jpg,Bag,"['Backpack', 'grey']"
35207.jpg,Bag,"['Backpack', 'grey']"
35202.jpg,Bag,"['pink', 'Backpack', 'grey']"
7092.jpg,Bag,"['black', 'Backpack', 'blue', 'grey']"
22663.jpg,Bag,"['Backpack', 'blue']"
